"station_id","history_id","station_name","lon","lat","province","elev","freq","network_id","native_id"
6596,8612,"Fort St. John Airport",-120.740277777778,56.2383333333333,"BC",694.9,"1-hourly",19,"1183000"
6597,8282,"Golden Airport",-116.981666666667,51.2983333333333,"BC",784.9,"1-hourly",19,"1173210"
6598,8283,"Grey Islet",-130.697833333333,54.58025,"BC",8.2,"1-hourly",19,"1063303"
6599,8284,"Grief Point",-124.525222222222,49.8046111111111,"BC",10,"1-hourly",19,"1043304"
6600,8285,"Herbert Island",-127.64724,50.9400116666667,"BC",16.5,"1-hourly",19,"1063461"
6601,8286,"Holland Rock",-130.360835277778,54.1725,"BC",5,"1-hourly",19,"1063496"
6602,8287,"Hope Airport",-121.498055555556,49.3683333333333,"BC",39,"1-hourly",19,"1113541"
6603,8288,"Hope Slide",-121.236388888889,49.275,"BC",687.8,"1-hourly",19,"1113581"
6604,8289,"Howe Sound - Pam Rocks",-123.298914444444,49.4879055555556,"BC",4.9,"1-hourly",19,"10459NN"
6605,8290,"Kamloops Airport",-120.441944444444,50.7022222222222,"BC",345.3,"1-hourly",19,"1163780"
6606,8291,"Kelowna Airport",-119.377777777778,49.9572222222222,"BC",429.5,"1-hourly",19,"1123965"
6607,8292,"Kelp Reefs",-123.235555555556,48.5477777777778,"BC",0,"1-hourly",19,"1013998"
6608,8293,"Kindakun Rocks",-132.771946944444,53.3155572222222,"BC",14.2,"1-hourly",19,"1054222"
6608,13074,"Kindakun Rocks",-132.772,40.31558,"BC",14.2,"1-hourly",19,"1054222"
6608,13123,"Kindakun Rocks",-132.772,40.31558,"BC",14.2,"1-hourly",19,"1054222"
6608,13124,"Kindakun Rocks",-132.772,53.31558,"BC",14.2,"1-hourly",19,"1054222"
6608,13122,"Kindakun Rocks",-132.772,53.31558,"BC",14.2,"1-hourly",19,"1054222"
6609,8294,"Langara Island",-133.058334166667,54.2553333333333,"BC",40.7,"1-hourly",19,"1054500"
6610,8295,"Lillooet",-121.934116666667,50.6837166666667,"BC",235,"1-hourly",19,"1114619"
6611,13113,"Lucy Islands Lightstation",-130.609,54.29592,"BC",26.2,"1-hourly",19,"1064728"
6611,8296,"Lucy Islands Lightstation",-130.728861111111,54.3585,"BC",26.2,"1-hourly",19,"1064728"
6612,8297,"Lytton",-121.581944444444,50.2244444444444,"BC",225,"1-hourly",19,"1114739"
6613,12965,"Mackenzie",-123.14,55.31,"BC",690.1,"1-hourly",19,"1184790"
6613,8298,"Mackenzie Airport",-123.133333333333,55.2994444444444,"BC",690.1,"daily",19,"1184790"
6614,8299,"Malahat",-123.529916666667,48.5749166666667,"BC",365.8,"1-hourly",19,"1014820"
6615,8300,"Masset Municipal Airport",-132.125,54.0272222222222,"BC",5.8,"1-hourly",19,"1054920"
6616,8301,"Mount Washington",-125.287194444444,49.7466944444444,"BC",1473.5,"daily",19,"1025230"
6617,8302,"Muncho Lake",-125.7666675,58.9300011111111,"BC",836.5,"1-hourly",19,"1195250"
6618,8303,"Nakusp",-117.812777777778,50.2663888888889,"BC",512.1,"1-hourly",19,"1145297"
6619,8304,"Nanaimo Airport",-123.87,49.0544444444444,"BC",28,"1-hourly",19,"1025370"
6620,8305,"Nelson",-117.305277777778,49.4913888888889,"BC",534.9,"1-hourly",19,"1145M29"
6621,8306,"North Cowichan",-123.718335555556,48.8241672222222,"BC",47.2,"1-hourly",19,"1015630"
6622,8307,"Ootsa Lake Skins Lake Spillway",-125.996719444444,53.7718888888889,"BC",861,"1-hourly",19,"1085836"
6623,8308,"Osoyoos",-119.441111111111,49.0283333333333,"BC",282.9,"1-hourly",19,"1125852"
6624,8309,"Pemberton Airport",-122.737777777778,50.3025,"BC",204.31,"1-hourly",19,"1086082"
6625,8310,"Pemberton Airport (wind)",-122.738055555556,50.3022222222222,"BC",203,"1-hourly",19,"1086081"
6626,8425,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8426,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8434,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8440,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8433,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8416,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8417,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8311,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"1-hourly",19,"1126150"
6626,8445,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8462,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8427,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8423,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8469,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8460,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8472,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8471,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8422,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8448,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8443,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
6626,8458,"Penticton Airport",-119.602222222222,49.4630555555556,"BC",344.12,"daily",19,"1126150"
6626,8407,"Penticton Airport",-119.602222222222,49.4625,"BC",344.12,"1-hourly",19,"1126150"
